iso_code,country,avg_co2_per_capita,mean_gdp_growth,gdp_growth_volatility,avg_gdp_per_capita,baseline_gdp_pc
PHL,Philippines,0.9730304839130435,0.0344080083712539,0.036507718882607454,6118.410260869565,4033.5608
POL,Poland,8.444877217391305,0.04371643485987781,0.02307243095999925,21383.063304347826,12732.167
PRK,North Korea,2.4084928173913043,-0.002226175818607007,0.023215411576806545,1726.2143173913041,1657.1444
PRT,Portugal,5.31381872173913,0.01033588577104449,0.03194026508232628,25289.85165217391,23372.041
PRY,Paraguay,0.9212335443478261,0.027615746431786915,0.04209415078921246,7187.722473913043,4896.4297
PSE,Palestine,0.5964582313043478,-0.002949271404567683,0.06923246184791008,4718.178360869565,5377.3936
QAT,Qatar,47.465368434782604,0.05755912008524849,0.07362035849437754,119506.5274347826,45788.12
ROU,Romania,4.340466356521739,0.06249567268778092,0.05351290225144084,16868.0169,7089.9463
RUS,Russia,11.144036391304349,0.041983403759811674,0.05052698041467049,20588.521304347825,10552.885
RWA,Rwanda,0.07690270039130435,0.035832900549459326,0.03213368527981065,1524.7039434782607,1023.6182
SAU,Saudi Arabia,20.659961956521737,0.038590188920388915,0.0528334866672728,41718.71004347826,23904.516
SEN,Senegal,0.5601161782608696,0.013612213576149617,0.019080900180519212,2231.672647826087,1983.524
SGP,Singapore,8.953483239130435,0.03563263266936633,0.04046592792350431,58465.487347826085,37772.758
SLE,Sierra Leone,0.12064487795652173,0.03611164605931025,0.08049468305486474,1455.036304347826,828.7939
SLV,El Salvador,1.0551206773913042,0.025097045873012536,0.03304313057524247,7427.623947826088,5403.715
SRB,Serbia,6.314270152173913,0.04887092631947864,0.03600519417246536,11767.300856521737,6059.583
STP,Sao Tome and Principe,0.5485373452173913,0.024395054608203372,0.022488329720572492,3106.8284826086956,2218.8196
SVK,Slovakia,7.023247269565218,0.032089055417127386,0.03497045620349026,21792.162608695653,13904.985
SVN,Slovenia,7.5584311217391305,0.01990403663242724,0.03807563732168848,26456.038260869565,21501.336
SWE,Sweden,5.060277939130435,0.015005112886975843,0.02633178908365579,41503.68178260869,34202.605
SWZ,Eswatini,0.9199353165217391,0.02578704251038411,0.02346972149563599,7052.239808695653,4894.5205
SYC,Seychelles,4.50422312173913,0.03693793612205227,0.053040975190311763,22155.402869565216,14379.832
SYR,Syria,2.284283543478261,-0.0468365462588231,0.07279683014793074,5200.786017391304,7668.072
TCD,Chad,0.11494793295652174,0.03402320804494608,0.08700005860042437,1409.0050369565217,716.04236
TGO,Togo,0.2806991265217391,0.01490291829164017,0.019510881847269904,1278.5686913043478,1150.366
THA,Thailand,3.5030413173913044,0.02497254586329787,0.02908174186046748,13565.531152173911,9627.1045
TJK,Tajikistan,0.5329433213043479,0.05433588684272975,0.015235509689624688,3318.824891304348,1723.3563
TKM,Turkmenistan,9.93678524347826,0.06908054063289139,0.07477567327977432,13354.911226086957,4173.195
TTO,Trinidad and Tobago,28.164365347826084,0.014900782805323502,0.05434063834054591,27677.00130434783,19179.918
TUN,Tunisia,2.4210137608695654,0.017404609370186876,0.03207322250289933,10064.541160869565,7548.438
TUR,Turkey,4.4147106565217396,0.039578332440601355,0.04639847866493846,18362.201260869566,11904.008
TWN,Taiwan,11.531603021739132,0.031975219051849794,0.027380050666161657,38304.254782608696,26787.445
TZA,Tanzania,0.18620489591304346,0.04567242885869716,0.01936306967368589,2132.5229695652174,1148.6802
UGA,Uganda,0.10027555491304349,0.026935945429557982,0.028001373799970846,1748.974408695652,1191.9539
UKR,Ukraine,5.830117713043478,0.02270180207418299,0.0899460919987551,8979.649326086957,5165.808
URY,Uruguay,1.9613817260869566,0.02086834418236153,0.04208179556158629,16295.21095652174,13050.063
USA,United States,17.944949065217394,0.011281350858251065,0.020019036916948108,51226.831999999995,45886.47
UZB,Uzbekistan,4.082712608695652,0.04618038895889338,0.018471874714663553,7844.053273913043,4667.26
VEN,Venezuela,5.207875069565217,-0.03604252062233013,0.11858802461182656,13590.689673913042,13992.608
VNM,Vietnam,1.85645397,0.049718356135650295,0.01341183906154525,5038.264934782609,2773.1016
YEM,Yemen,0.6993388626086956,-0.03082938984517808,0.0773769083298535,3624.240713043478,4212.1055
ZAF,South Africa,8.267886108695652,0.019286865092925664,0.03284102956918245,10644.592860869565,7582.7783
ZMB,Zambia,0.29870236608695655,0.040231621828400205,0.042467926030352224,2761.082913043478,1428.5023
ZWE,Zimbabwe,0.7822531595652175,-0.008771517608649627,0.07861071436866852,1689.9931173913042,2211.1963
